nohup: ignoring input
Files already downloaded and verified
[22 39 85 97 55 33 80 13 27 96 44 46 58 23 48 84  2 66 63 36 26  8  7 12
 59 93 32 40  1 15 91 21 61  0 31 75 67 25 14 53 16 49 17 18 20 28 94 70
 41 83 60 56 98 77 92 51 68 47 86 45 76 82 79 37 78 30 73  6 72 64 52 29
 74 95 99 38 69 57 50 10 42 24 35 34 65 90 81 11  4  9  3 89 71 19 88 62
 54  5 43 87]
Files already downloaded and verified
[22 39 85 97 55 33 80 13 27 96 44 46 58 23 48 84  2 66 63 36 26  8  7 12
 59 93 32 40  1 15 91 21 61  0 31 75 67 25 14 53 16 49 17 18 20 28 94 70
 41 83 60 56 98 77 92 51 68 47 86 45 76 82 79 37 78 30 73  6 72 64 52 29
 74 95 99 38 69 57 50 10 42 24 35 34 65 90 81 11  4  9  3 89 71 19 88 62
 54  5 43 87]
Files already downloaded and verified
[22 39 85 97 55 33 80 13 27 96 44 46 58 23 48 84  2 66 63 36 26  8  7 12
 59 93 32 40  1 15 91 21 61  0 31 75 67 25 14 53 16 49 17 18 20 28 94 70
 41 83 60 56 98 77 92 51 68 47 86 45 76 82 79 37 78 30 73  6 72 64 52 29
 74 95 99 38 69 57 50 10 42 24 35 34 65 90 81 11  4  9  3 89 71 19 88 62
 54  5 43 87]
Files already downloaded and verified
[22 39 85 97 55 33 80 13 27 96 44 46 58 23 48 84  2 66 63 36 26  8  7 12
 59 93 32 40  1 15 91 21 61  0 31 75 67 25 14 53 16 49 17 18 20 28 94 70
 41 83 60 56 98 77 92 51 68 47 86 45 76 82 79 37 78 30 73  6 72 64 52 29
 74 95 99 38 69 57 50 10 42 24 35 34 65 90 81 11  4  9  3 89 71 19 88 62
 54  5 43 87]
Files already downloaded and verified
[22 39 85 97 55 33 80 13 27 96 44 46 58 23 48 84  2 66 63 36 26  8  7 12
 59 93 32 40  1 15 91 21 61  0 31 75 67 25 14 53 16 49 17 18 20 28 94 70
 41 83 60 56 98 77 92 51 68 47 86 45 76 82 79 37 78 30 73  6 72 64 52 29
 74 95 99 38 69 57 50 10 42 24 35 34 65 90 81 11  4  9  3 89 71 19 88 62
 54  5 43 87]
Files already downloaded and verified
[22 39 85 97 55 33 80 13 27 96 44 46 58 23 48 84  2 66 63 36 26  8  7 12
 59 93 32 40  1 15 91 21 61  0 31 75 67 25 14 53 16 49 17 18 20 28 94 70
 41 83 60 56 98 77 92 51 68 47 86 45 76 82 79 37 78 30 73  6 72 64 52 29
 74 95 99 38 69 57 50 10 42 24 35 34 65 90 81 11  4  9  3 89 71 19 88 62
 54  5 43 87]
begin train： 1
get class 0 train data  index is  0
get class 1 train data  index is  1
get class 2 train data  index is  2
get class 3 train data  index is  3
get class 4 train data  index is  4
get class 5 train data  index is  5
get class 6 train data  index is  6
get class 7 train data  index is  7
get class 8 train data  index is  8
get class 9 train data  index is  9
the size of train set is (5000, 32, 32, 3)
the size of train label is (5000,)
get class 0 test data  index is  22
get class 1 test data  index is  39
get class 2 test data  index is  85
get class 3 test data  index is  97
get class 4 test data  index is  55
get class 5 test data  index is  33
get class 6 test data  index is  80
get class 7 test data  index is  13
get class 8 test data  index is  27
get class 9 test data  index is  96
the size of test set is (1000, 32, 32, 3)
the size of test label is (1000,)
epoch:0,step:0,loss:0.761
epoch:0,step:1,loss:1.328
epoch:0,step:2,loss:0.812
epoch:0,step:3,loss:0.522
epoch:0,step:4,loss:0.455
epoch:0,step:5,loss:0.499
epoch:0,step:6,loss:0.416
epoch:0,step:7,loss:0.359
epoch:0,step:8,loss:0.327
epoch:0,step:9,loss:0.382
epoch:0,step:10,loss:0.377
epoch:0,step:11,loss:0.325
epoch:0,step:12,loss:0.323
epoch:0,step:13,loss:0.310
epoch:0,step:14,loss:0.334
epoch:0,step:15,loss:0.321
epoch:0,step:16,loss:0.327
epoch:0,step:17,loss:0.326
epoch:0,step:18,loss:0.319
epoch:0,step:19,loss:0.314
epoch:0,step:20,loss:0.303
epoch:0,step:21,loss:0.320
epoch:0,step:22,loss:0.313
epoch:0,step:23,loss:0.322
epoch:0,step:24,loss:0.315
epoch:0,step:25,loss:0.314
epoch:0,step:26,loss:0.310
epoch:0,step:27,loss:0.321
epoch:0,step:28,loss:0.305
epoch:0,step:29,loss:0.292
epoch:0,step:30,loss:0.318
epoch:0,step:31,loss:0.304
epoch:0,step:32,loss:0.298
epoch:0,step:33,loss:0.298
epoch:0,step:34,loss:0.302
epoch:0,step:35,loss:0.301
epoch:0,step:36,loss:0.291
epoch:0,step:37,loss:0.296
epoch:0,step:38,loss:0.288
epoch:0,step:39,loss:0.332
benchmark epoch:0,accuracy:17.100
epoch:1,step:0,loss:0.494
epoch:1,step:1,loss:0.326
epoch:1,step:2,loss:0.332
epoch:1,step:3,loss:0.314
epoch:1,step:4,loss:0.305
epoch:1,step:5,loss:0.285
epoch:1,step:6,loss:0.314
epoch:1,step:7,loss:0.305
epoch:1,step:8,loss:0.287
epoch:1,step:9,loss:0.295
epoch:1,step:10,loss:0.304
epoch:1,step:11,loss:0.296
epoch:1,step:12,loss:0.285
epoch:1,step:13,loss:0.285
epoch:1,step:14,loss:0.298
epoch:1,step:15,loss:0.288
epoch:1,step:16,loss:0.292
epoch:1,step:17,loss:0.280
epoch:1,step:18,loss:0.288
epoch:1,step:19,loss:0.301
epoch:1,step:20,loss:0.285
epoch:1,step:21,loss:0.259
epoch:1,step:22,loss:0.287
epoch:1,step:23,loss:0.281
epoch:1,step:24,loss:0.269
epoch:1,step:25,loss:0.274
epoch:1,step:26,loss:0.286
epoch:1,step:27,loss:0.276
epoch:1,step:28,loss:0.264
epoch:1,step:29,loss:0.271
epoch:1,step:30,loss:0.263
epoch:1,step:31,loss:0.296
epoch:1,step:32,loss:0.283
epoch:1,step:33,loss:0.301
epoch:1,step:34,loss:0.288
epoch:1,step:35,loss:0.280
epoch:1,step:36,loss:0.276
epoch:1,step:37,loss:0.274
epoch:1,step:38,loss:0.283
epoch:1,step:39,loss:0.329
benchmark epoch:1,accuracy:15.300
epoch:2,step:0,loss:0.436
epoch:2,step:1,loss:0.296
epoch:2,step:2,loss:0.286
epoch:2,step:3,loss:0.287
epoch:2,step:4,loss:0.290
epoch:2,step:5,loss:0.275
epoch:2,step:6,loss:0.272
epoch:2,step:7,loss:0.274
epoch:2,step:8,loss:0.267
epoch:2,step:9,loss:0.282
epoch:2,step:10,loss:0.289
epoch:2,step:11,loss:0.283
epoch:2,step:12,loss:0.267
epoch:2,step:13,loss:0.291
